Algorithm,Dataset,N,kappa
ImageNet,Face,6,0.9419261
ImageNet,Face,8,0.8852018
ImageNet,Face,10,0.8970903
Places365,Face,6,0.8209518
Places365,Face,8,0.8478137
Places365,Face,10,0.8437746
VGGFace,Face,6,0.9632443
VGGFace,Face,8,0.7978339
VGGFace,Face,10,0.9350744
ImageNet,Climate,6,0.6136701
ImageNet,Climate,8,0.6622361
ImageNet,Climate,10,0.5597257
Places365,Climate,6,0.9499916
Places365,Climate,8,0.9154036
Places365,Climate,10,0.9426277
VGGFace,Climate,6,0.5932349
VGGFace,Climate,8,0.8389262
VGGFace,Climate,10,0.1775479